,分数,影评
0,很差,"讲北漂的，我一直不爱这种讲着情怀却无病呻吟的片子，打着情怀的幌子拍个那么长的mv，不累么。 整片冗长，全程坐下来腰疼，两位主演演的北漂爱情故事并没有那么感人，剧情也啰嗦，人物刻画不足，好似台词堆砌出来，金句很多但反倒让人觉得有些架空，拍个mv就好了，拍啥电影啊。...

                         (展开)"
1,很差,"这篇影评可能有剧透

                        人生第一次想中途离场的电影居然献给了《后来的我们》，没想到躲过了《栀子花开》，却栽在了这一部上，那么问题来了，是什么支撑着我坚持看完呢，原因是我一直觉得有那么多的明星为它站街，预售过亿的电影，一定有什么过人之处。当我的朋友告诉我还有40分钟就结束了，不会有什...

                         (展开)"
2,还行,"周冬雨长了一张没有被生活摧残过的脸，所以她可以在每一部电影里天真无邪，然后被生活撕裂，又在下一部电影中满血复活。好的导演只用在适当的时候撕裂这张脸，就可以让观众感到真实的痛苦。 不过我觉得电影滥用了这张脸。明明是后来的我们，最后却只有后来的林见清。 方小晓呢...

                         (展开)"
3,还行,"从昨天晚上开始不断发酵的，关于《后来的我们》在猫眼平台操作下的“退票事件”，再次用令人震惊的数据揭开了行业乱象。 上映首日，影片创造的1.22亿的预售和单日超过2.8亿的超高票房背后，是“饥饿营销”的又一时代“鲜”例——通过锁票制造“现象级”假象，影院调高排片、观...

                         (展开)"
4,还行,"看完《后来的我们》，我感觉自己好像闯入了一个心思细腻，多愁善感，但是缺乏生活阅历和写作技巧的文学女生，呕心沥血创作出来的处女短篇。 好处很明显，感情真挚，表演惊艳，这说明创作者确实有着一颗感性的内心，知道何为动人，如何动人。 然而短板太多了，故事老套，这说明...

                         (展开)"
5,推荐,"这篇影评可能有剧透

                        如果不是我有一段时间没去影院，猫眼也刚好组织了见面会活动的话，我不会去看这部电影。 不是说看了这电影觉得不好，而是没看之前，我就已经对国产爱情片不抱任何希望。 近几年，别说拍好，能算得上合格的都很少。 哪一部在豆瓣打开，不是四分五分？ 现在的国产爱情片全都一副...

                         (展开)"
6,很差,"这篇影评可能有剧透

                        刚刚看完刘若英导演的电影《后来的我们》，我忍不住上来吐槽800字。 粗略看了看评论，微博里90%在夸，豆瓣里90%在贬。我只想说，这种电影真的只能骗骗95后的有过恋爱经验目前没有稳定感情的单身了。 我对这部电影的好奇，当然是它们成功的前期宣传造势，而一开始看，我就……嗯...

                         (展开)"
7,还行,"我能说我全然觉得演员救了这片子吗？ 先说男女主角，两个人物都不讨人喜欢 男的要到女方走了之后才奋发图强，你早干嘛去了？工作不顺只会醉酒打人借机发泄，匹夫之勇，沉迷打机逃避现实，不够担当 女的一开始的爱情观竟然是找个北京人就能嫁了，因为留在家乡她一眼就能看到未来...

                         (展开)"
8,推荐,"这篇影评可能有剧透

                        看了刘若英处女作《后来的我们》，主演是井柏然和周冬雨，周冬雨依然是玩世不恭的江湖女子路线，演得驾轻就熟；让我收获惊喜的是井柏然，他的角色乍看平平无奇，然而其中的层次感，却无法让我用一两句话概括。 回溯井柏然演艺生涯之始、他当然是个标准的偶像派，俊眉修目肤若凝...

                         (展开)"
9,较差,"不谦虚地讲，我也算得上是一个资深影迷了，去年支付宝弄的那个消费账单显示，我去年在电影票的消费上超过了2000块钱。但资深如我，一直也没研究明白一个问题，就是怎么退票。你知道有时候为了抢占好座位，都提前一两天买票，但偶尔临时有事去不了，可我就是找不到退票的按钮，...

                         (展开)"
10,还行,"这篇影评可能有剧透

                        以前总以为，人生最美好的是相遇。 后来才明白，其实难得的是重逢。 如果我们能够久别重逢， 我希望你别来无恙。 电影呈现着两个人从相识到相知，再到相爱，最后分开，叙述一对情侣在大城市里漂泊，吃尽生活的苦，历尽感情的磨难，放手分开，最终释然的故事。剧本不新，却感情...

                         (展开)"
11,还行,"北京，一个在四月被各种影视剧妖魔化的城市，在四月底终于迎来了一次相对正常的展示。没有贩卖焦虑，没有美化成长，没有虚假的灯红酒绿，也没有伪善的心灵鸡汤，更让人惊讶的是这些是一位台湾导演刘若英拍出来的。 在《后来的我们》里面的男女主角虽然穷的过分，但至少活的挺真...

                         (展开)"
12,还行,"这篇影评可能有剧透

                        电影散场，我一直拉着同伴问，为什么小昭晓不和见清复合？ 他说，大概是觉得，对方低谷的时候没有陪伴，如今辉煌，自己也不配再在他身边。 讲实话，我不太满意这个答案。 第一次觉得自己可能有点直男思想，就是因为作为女生我都想不通小晓为什么不和见清复合。 所有现实的阻碍...

                         (展开)"
13,很差,"这他妈评分注入水了吧！巧了，朋友圈最作的两个女孩子发了自我感动一塌糊涂，真他妈恶心！渣难最爱装深情，作女最爱自我陶醉，本质上没啥区别。然后问什么受伤的总是自己，你她妈这么作，谁敢要啊！ 友情提醒男孩子一下，千万不要找喜欢这类电影的女朋友，因为她真的会整死你哦...

                         (展开)"
14,还行,"这篇影评可能有剧透

                        《后来的我们》讲述的是一个北漂的故事，关于漂泊、青春、爱情、成长。 影片算不上多么优秀，却能票房大卖，成功之处在于：共鸣。 故事里的北京可以是任何地方，换成广州、上海、深圳、成都，或许就成了你我的故事。 小晓和见清从相遇到相处再到分手的过程，也让无数观众想起自...

                         (展开)"
15,较差,"这篇影评可能有剧透

                        “如果当时我勇敢，结局会不会不一样；如果当初你坚持，回忆会不会不一般”，这句话大概在每一部关于错过的青春小说、影视作品中都会提到，而那些爱恋，则成了难忘的回忆。 近几年关于青春的电影很多，从致青春到同桌的你，从匆匆那年到后来的我们，每一部都在讲述了年少的爱恋...

                         (展开)"
16,较差,"这篇影评可能有剧透

                        一直喜欢看周冬雨的电影，不管是七月与安生还是同桌的你，她似乎特别适合这种角色，很清新，笑起来，弯弯的眼睛，翘起的嘴角，很好看，很干净。 不喜欢井柏然的角色，你结婚生孩了就不要跟前任纠缠不清，最好的告别就是一别两宽，各生安好。渣。 后来的我们，当初的我们。 当初...

                         (展开)"
17,还行,"刘若英不是个让人放心的导演。 说起来叙事碎片化、热爱文艺腔和自我意识过剩真的是文青系导演的通病，张艾嘉就有一点，黄磊也有，刘若英自己就更不例外了。 电影算不上多好，最大的问题还是： 导演完全抑制不住自己硬要写装逼台词的欲望，而且一写起来就刹不住车，很多明明只要...

                         (展开)"
18,力荐,"一个很有意思的事情，《后来的我们》这个电影名字一共包含了三首歌——刘若英的《后来》、陈奕迅 的《我们》、五月天的《后来的我们》。 因为刘若英，大家都想当然的认为，这是歌曲《后来》的衍生电影，但看完片后，观众会发现，这电影除了片名和意境以外，和《后来》的关系似...

                         (展开)"
19,较差,"2018:男主有妻有子与前任在酒店同房缅怀青涩恋爱； 2023:男主已离婚与前妻在咖啡馆相遇怀念平淡婚姻。 ...... “你拥有什么，什么才最珍贵。而不是你失去什么，什么才最珍贵。” 到底有多少人能够懂得这个道理呢？ 人都会不自觉的美化记忆，如果当时真的很快乐你会分手吗？如果...

                         (展开)"
20,还行,"1 又一部演员的演技被剧本瞎了的片子。 我打的是三星，“还行”。 在电影院里的两个小时，感觉如坐针毡，太冗长无趣，不过我没有中途退场的习惯，无论如何，看完，这是对电影的尊重。 很多人抨击《后来的我们》的三观，我不认为这值得抨击，三观与观众不合的片子，实在是太多了...

                         (展开)"
21,很差,"这篇影评可能有剧透

                        整部电影像一场超长的mv，情怀和营销做了很多，电影的质量差强人意。 关于三观问题，电影的三观为什么被抨击？因为这部电影在剧情和逻辑上并不能说服观众 ，而且拍得很不好。片中男主和孩子在宾馆里通话，有一种强烈的捉奸的恶心感。 1、影片开头，女主一行人从中途停车的火车...

                         (展开)"
22,较差,"1999年，刘若英发行专辑《我等你》。专辑中有首改编自日本歌曲、由施人诚重新填词的《后来》，词曲中都充满怨悔，是写给那些错过的恋人。和声部分还请来另一个双子女梁静茹演唱。 那时候，不，一直以来，刘若英都是歌坛哀怨（并非苦情）代言人。她在歌坛的人设（那时候还叫“定...

                         (展开)"
23,还行,"这篇影评可能有剧透

                        很少能有看电影时候能代入的感觉了，遇见他的时候我才16岁，他陪我走过了一整个高中，为了他，我想要成为更好的自己，却真的不懂如何去爱，现在回忆起来，有他的那几年真的很让人怀念，也许他并不是那个最好的人，余生也难再与他相守，但能青春岁月里遇见一个人，爱上一个人，...

                         (展开)"
24,还行,"这篇影评可能有剧透

                        其实对于奶茶第一部电影其实中规中矩，但是井柏然的表演加一星（我的意思就是电影2颗星，井柏然演技加一星…看电影本来就是很主观的事情嘛，我承认这电影好不在哪里，但我用2小时，认识到了自己曾经的一些错误，痛哭了一会，走出电影院，我还是那个坚强的大人，所以我觉得可以...

                         (展开)"
25,还行,"吸引我的不是对爱情的描绘，而是北京巨大的背景。故事讲得很细腻，细节丰盈，尽管有点煽情，个别地方略让人跳戏（比如两人车上的哭戏），但总体并不浮夸，有现实的指向性，已经比大多国产爱情片扎实了。男女主角和田壮壮表演都很不错！如果言情戏再少点，逻辑更完善，主题再深...

                         (展开)"
26,力荐,"这篇影评可能有剧透

                        儿子发来视频通话，小晓四处躲藏。父亲收到小晓说见清带回来的礼物，躲到厨房流泪。见清同学会受奚落，回来和父亲发脾气。父亲电话里说吃饭人很多都坐不下，冷清的和朋友俩人吃年夜饭。父亲给小晓写的信（此时我泣不成声）。父亲去世后见清在家中落泪。见清给家人做年夜饭，吃...

                         (展开)"
27,还行,"故事很俗，没有新意，但是演员很棒。周冬雨真漂亮，眼神戏也很出彩，这部电影里一直盯着她看快要爱上她了，井柏然表现也不错；最传神的大概是老父亲这个角色，承载了中国传统的父爱深沉。比较尴尬的是台词，尤其是两人回忆过去时的对话，太矫情了，这类语言放在一本书里或许会...

                         (展开)"
28,力荐,"周冬雨，说实话，以前真的不看周冬雨。。。。反正对不上眼，而且觉得小眼睛太机灵不好看！山楂树啊安生啥的我都没看过。这次心想怎么刘若英选了这个演员，但是，看了电影，完全颠覆了我的想法，真是真实在线啊！我没有用演技在线，我觉得小晓就是她！ 井柏然，真是相当然让我惊...

                         (展开)"
29,较差,"周冬雨在戏里给井柏然上过一次课，当然，被迫倾听的还有我们这些观众。她说的意思概括起来就是：你给的，并不是我们想要的。我敬佩这种坦诚的品格，可是为什么刘若英首先带头犯错？ 这对未老先衰的恋人，看起来好像真的琢磨透了爱情是怎么回事，人生是怎么回事。因为，他们从开...

                         (展开)"
30,还行,"这篇影评可能有剧透

                        有不少闪光的碎片，然而内核还是离地，充满了对北漂的刻板印象。两位主角过得惨了点，文青的人设，却过着民工的生活水平。导演是一代文艺女神，不能理解，实际上北漂这个概念是专门为小镇青年量身定制，民工就不合适叫北漂，两者是不一样的残酷。 北上广对于民工，就像煤矿，暗...

                         (展开)"
31,推荐,"曾几何时，刘若英的《后来》是KTV里的必点曲目，尤其是同学会，不管男女都能一起合唱这首歌，唱到泪眼婆娑，喝口啤酒接着唱。 按照奶茶的说法，《后来的我们》灵感并不来自于《后来》这首代表作，而是她自己的小说《过年回家》改编的，但《后来》的歌词又仿佛是给电影预定的，...

                         (展开)"
32,较差,"台词矫情，强行催泪，只有他爸那点很感动。剧情很老套了最后一封信比较有意义。然后其他的感觉很毁三观 回忆太多，想睡觉，没什么感人之处全程都是在回忆过去，一脸懵逼 ppt即视感，有文字无剧情一点微不足道的小事，镜头下无限放大。影片的宣传比电影本身强的太多了！建议电影...

                         (展开)"
33,较差,"这篇影评可能有剧透

                        感觉这好像文艺片 又好像青春片 冲着周冬雨和陈奕迅的歌去的 看完总体感受是 没想象的那么好看 电影是一段现实一段回忆那种 感觉回忆和现实之间的转换很快 让人猝不及防的感觉 开始的火车相遇和飞机相遇转换 感觉在看mv 而且 感觉里面的人的行为让我出乎意料 见清都有孩子有家...

                         (展开)"
